Mango Ladoo Recipe,",1/2 cup Mango Pulp (Puree),1 cup Dessicated Coconut , and more to dust,1/2 cup Condensed Milk,Mixed nuts , for topping,1 pinch Cardamom Powder (Elaichi)",10,15,25,4,Indian,Dessert,Vegetarian,"To begin making Mango Ladoo Recipe, preheat a thick bottomed pan and dry roast desiccated coconut for about 2-3 minutes or till fragrant.Do not brown and make sure you do not burn it.Once it is done, add in the mango pulp and stir till combined well.Add condensed milk, and cardamom powder and nuts to the mango coconut mixture stir well to combine. The mixture  will be a little gooey now. Keep on stirring to avoid charring.Once the mixture reaches a doughy consistency and comes together, switch off flame and allow to cool a bit.Once cooled pinch out a small ball and roll between palms, roll the ladoo in desiccated coconut powder. Repeat till all the ladoos are done.Serve Mango Ladoo Recipe after your festive meal of Gujarati Kadhi, Paneer Butter Masala, Batata Pulao and Phulka with your family.
"
Garlic & Ginger Spiced Potato Wedges Recipe (Baked),",4 Potatoes (Aloo),4 tablespoons Extra Virgin Olive Oil,1 tablespoon Ginger Garlic Paste,2 tablespoons Red Chilli flakes,3 tablespoons Italian seasoning,1 tablespoon Dried Thyme Leaves,1 tablespoon Water",10,60,70,4,Continental,Snack,Vegetarian,"To bake this delicious Garlic & Ginger Spiced Potato Wedges recipe, pre-heat the oven at 200 C for 10 Minutes. While the oven gets pre-heated, clean, peel and cut the potatoes into wedges of about 1/2 inch thick. Ensure that the thickness of wedges need to be uniform for even baking.Add them to a mixing bowl. Add olive oil, ginger-garlic paste, red chili flakes, rosemary, Italian seasoning, salt and mix well with clean hands. Let all the potato wedges be covered by oil, spices and seasoning.Line the baking tray with an aluminium foil/ line the tray with baking sheet. Arrange the potato wedges on the prepared tray in lines, such that they do not over-lap on one another.Sprinkle about a tablespoon of water in the baking tray.Bake this at 200 degree Celsius for about 30 Minutes.After 30 Minutes, carefully take out the baking tray and turn all the potato wedges to the other side.Again keep the baking tray with turned potato wedges in the oven and continue baking for another 20 Minutes at the same temperature.Serve these yummy guilt-free baked Potato Wedges spiced with garlic & ginger along with any interesting dips like cottage cheese dip, yogurt dip, or tomato sauce as a side. These baked potato wedges are a great option to impress your valued guests!
"
Onion-Tomato Dosa Savoury Waffles Recipe,",1 cup Idli Dosa Batter,2 Onions , finely chopped,1 Tomato , finely diced,2 tablespoons Coriander (Dhania) Leaves , finely chopped,1 teaspoon Green Chilli Paste,Salt , to taste,6 Curry leaves , chopped",10,10,20,3,Fusion,World Breakfast,Vegetarian,"To begin making Onion-Tomato Dosa Savoury Waffles Recipe, in a bowl add the dosa/Idli batter, add the remaining ingredients and mix well.Preheat the waffle maker, grease the waffle maker lightly using a paper towel or grease it with cooking spray.Ladle out 1/4 cup batter into each cavity and cook the waffles according to the instructions of your waffle maker.It should take between 1-1/2 to 2 minutes depending on your waffle maker.Serve Onion-Tomato Dosa Savoury Waffles Recipe with Red Chilli Coconut Chutney Recipe as a dips and side dishes for fusion breakfast. This also makes quick appetizers for chaat party as well.
"
वेजिटेबल राइस उपमा रेसिपी - Vegetable Rice Upma (Recipe In Hindi),",1 कप चावल,1 प्याज,1 टमाटर,4 हरी मिर्च , काट ले,1 इंच अदरक , कस ले,1 टहनी कढ़ी पत्ता,1 गाजर , बारीक काट ले,5 हरा बीन्स , काट ले,1/4 कप हरे मटर,2 बड़े चमच्च तेल,1 छोटा चमच्च राइ,1 बड़ा चमच्च सफ़ेद उरद दाल,1 बड़ा चमच्च चना दाल,नमक , स्वाद अनुसार,2 कप पानी , गरम",20,40,60,4,South Indian Recipes,South Indian Breakfast,Gluten Free,"वेजिटेबल राइस उपमा बनाने के लिए सबसे पहले चावल को 2 घंटे के लिए पानी में भिगो ले. पानी निकाल ले और इस मिश्रण को एक कपडे पर फैला ले. सूखने के बाद चावल को मिक्सर ग्राइंडर में डाले और पीस ले.एक स्टीमर में गाजर, हरे बीन्स, मटर को थोड़े नमक के साथ डाले और पका ले. अलग से रख दे. प्रेशर कुकर में तेल गरम कर ले. इसमें राइ डाले और 10 सेकण्ड्स के लिए पका ले. 10 सेकण्ड्स के बाद इसमें उरद दाल, चना दाल डाले और 1 मिनट के लिए पका ले. 1 मिनट के बाद इसमें प्याज, हरी मिर्च, अदरक, कढ़ी पत्ता डाले और प्याज के नरम होने तक पका ले. प्याज के नरम होने के बाद, इसमें टमाटर डाले और उसके नरम होने के लिए पका ले. पकी हुई सब्जिआ, नमक डाले और 1 मिनट के लिए पका ले. 3 कप गरम पानी डाले और पानी के उबलने तक पकाए। पानी के उबलने के बाद इसमें चावल का पाउडर डेल. अच्छी तरह से मिला ले और कुकर में 2 सिटी आने तक पकाए। प्रेशर को निकलने दे.कुकर को खोले और मिला ले. इसमें 1 बड़ा चमच्च घी डाले और मिला ले. हरे धनिये से गार्निश करें और परोसे। वेजिटेबल राइस उपमा को नारियल की चटनी और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।
"
Pineapple And Semolina Sheera Recipe,",1/2 cup Sooji (Semolina/ Rava),1/2 cup Ghee,1/2 cup Sugar,1/2 cup Pineapple , chopped,7 Raisins,7 Pistachios , sliced,7 Cashew nuts , sliced,Water , as required,1/2 teaspoon Cardamom (Elaichi) Pods/Seeds , powdered,Saffron strands , dipped in 1 tablespoon warm water",10,25,35,3,North Indian Recipes,Dessert,Vegetarian,"To begin with Pineapple And Semolina Sheera Recipe, first heat ghee in kadhai and add semolina. Stir it continuously till it turns golden brown.No add chopped pineappleand mix it well, cover the kadhai with a lid and allow it to cook for 2 – 3 minutes.Now add water and give it a stir so that semolina doesn’t form lumps. As you keep stiring the mixture starts to cook, leave it on medium flame for another 2 – 3 minutes.Once cooked add sugar, continue to stir the sheera so that the moisture is not there.Before putting the flame down add saffron water, some cardamom powder and raisins, mix it well and taste if the sugar is fine and if everything tastes perfect remove the kadai from heat.Transfer the Pineapple and Semolina Sheera to a serving bowl and garnish it with sliced cashew and Pistachio. 
"
Karnataka Style Mixed Vegetable Pulao Recipe,",2 cups Basmati rice,2 Bay leaves (tej patta),100 grams Paneer (Homemade Cottage Cheese),1 cup Fried Bread Cubes (Croutons),2 Carrots (Gajjar) , finely chopped,10 Green beans (French Beans) , finely chopped,1/4 cup Green peas (Matar),2 Potatoes (Aloo) , boiled and diced,1 cup Cauliflower (gobi) , florets,3 tablespoons Fresh coconut , grated,4 Pearl onions (Sambar Onions),4 cloves Garlic,1 inch Ginger,3 teaspoons Coriander (Dhania) Seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1 Coriander (Dhania) Leaves , bunch,1 Tomato , finely chopped,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,3 Green Chillies",30,30,60,4,Indian,Lunch,Vegetarian,"To begin making Karnataka Style Mixed Vegetable Pulao Recipe, first get all the ingredients ready.Grind the ingredients mentioned in ""For pulao masala"" including fresh coconut, pearl onions, garlic, ginger, coriander seeds, cumin seeds, fennel seeds, coriander leaves, tomato, cinnamon stick, cloves, cardamom and green chillies to a fine paste using a mixer grinder. You can a little warm water to make it into a smooth paste.Steam the vegetables using a steamer and keep aside.Cook Basmati rice in 3-1-/2 cups of water in a sauce pan, along with salt and bring it to a brisk boil. Once it comes to a boil, turn the heat to low, cover the pan and cook the rice until all the water is absorbed. Turn off the heat and allow the rice to cool and then fluff the rice up with a fork.Heat oil in a heavy bottomed pan, add the bay leaf and the ground paste. Saute the pulao masala till it turns brown and fragrant. Add the cooked rice, paneer, bread croutons and vegetables to this masala and mix well.Check the salt and adjust to suit your taste and serve.Serve the Karnataka Style Mixed Vegetable Pulao Recipe along with a bowl of Tomato Onion Raita for lunch or dinner or even pack it into your lunch box.
"
चीसी बेक्ड जीटी पास्ता रेसिपी - Cheesy Baked Ziti Pasta Recipe,",2 कप पास्ता , जीटी,2 छोटे चम्मच ओलिव का तेल,12 बटन मशरुम,1/2 कप स्वीट कॉर्न,नमक , स्वाद अनुसार,2 बड़े चम्मच ओलिव का तेल,6 बेसिल , तोड़ ले,6 कली लहसुन , बारीक काट ले,1 प्याज , बारीक काट ले,2 छोटे चम्मच रेड चिल्ली फलैक्स,नमक , स्वाद अनुसार,1/2 छोटा चम्मच शक्कर,1 छोटा चम्मच काली मिर्च पाउडर,1 टहनी रोसमैरी,1/2 कप टमाटर प्यूरी,1 कप मोज़रेला चीज़ , कस ले",10,40,50,4,Italian Recipes,Main Course,Vegetarian,"चीसी बेक्ड जीटी पास्ता रेसिपी बनाने के लिए सबसे पहले हम पास्ता को पकाएंगे। एक सॉसपैन में पानी गरम करें और उबलने दे. पानी के उबलने के बाद इसमें नमक और पास्ता डाले। इसको 12 से 15 मिनट के लिए पकाए। ध्यान रखें ज्यादा न पकाए, पास्ता ज्यादा नरम नै होना चाहिए। गैस बंद करें, पानी निकाल दे और पास्ता को ठन्डे पानी के निचे रख दे. अब इसमें थोड़ा तेल डाले और मिला ले ताकि पास्ता एक दूसरे से चिपके नहीं। अलग से रख दे. *रोस्टेड सब्ज़िओ के लिए :एक कढ़ाई में ओलिव का तेल गरम करें। इसमें मशरुम डाले और उनके नरम होने तक पका ले. अब इसमें कॉर्न डाले और 2 से 3 मिनट के लिए पका ले. गैस बंद करें और अलग से रख दे. *पास्ता सॉस बनाने के लिए :एक कढ़ाई में ओलिव का तेल गरम करें। इसमें प्याज, लहसुन डाले और प्याज के नरम होने तक पका ले. अब इसमें टमाटर की प्यूरी, रेड चिली फलैक्स, नमक, शक्कर, बेसिल के पत्ते, रोसमेरी डाले और मिला ले.अब इसमें 2 बड़े चम्मच पानी डाले और उबलने दे. गाढ़ा होने तक पकाए। अब इसमें पास्ता, रोस्टेड मशरुम कॉर्न डाले और 3 से 4 मिनट के लिए पका ले.गैस बंद करें, इसमें चीज़ डाले और मिला ले.अब ओवन को पहले से 180 डिग्री सेल्सियस पर पहले से गरम कर ले. अब पास्ता को एक बड़ी सर्विंग डिश के डाले और ऊपर से चीज़ और ड्राई हर्ब्स डाल दे. 15 मिनट के लिए बेक करें और परोसे। चीसी बेक्ड जीटी पास्ता रेसिपी को गार्लिक ब्रेड, ब्रोकली सलाद के साथ रात के खाने के लिए परोसे।
"
Chilli Ginger Vegetable Tofu Stir Fry Recipe,",250 grams Tofu , drained on paper and cut into thick finger length,6 Button mushrooms , sliced,1 Red Bell pepper (Capsicum) , sliced,1 Yellow Bell Pepper (Capsicum) , sliced,1 Green Bell Pepper (Capsicum) , sliced,3 Baby corn , sliced lengthwise,7 Green beans (French Beans) , cut and blanched,7 Broccoli , cut into florets,1 Onion , sliced lengthwise,4 cloves Garlic , finely minced,2 teaspoons Ginger , grated,1 inch Ginger , cut into fine julienne,2 Fresh Red chillies , chopped or green chillies,2 tablespoon Plum sauce , (asian),3 tablespoon Light soy sauce,2 tablespoon Rice Wine Vinegar,1 teaspoon Whole Black Peppercorns , crushed,Salt , to taste,3 tablespoon Sunflower Oil,Sesame seeds (Til seeds) , as required for garnish,Garlic , chives (chopped),Coriander (Dhania) Leaves , chopped, as required for garnishing",10,45,55,4,Asian,Dinner,High Protein Vegetarian,"To begin making the Chilli Ginger Vegetable Tofu stir fry, first place the Tofu pieces in a mixing bowl.In a small bowl whisk together 2 tablespoon light soy sauce,1 tablespoon vinegar, salt, 1 chopped chilly, grated ginger and whisk.Drizzle this mixture over the tofu pieces and mix to coat well. Keep aside for at least 30 minutes.Heat 2 tablespoon oil in a wok. Add the tofu pieces and fry on high heat till they turn golden brown. Take them out and keep aside till further use.Add the remaining oil in the wok. Add the onion, garlic and sauté for a few seconds on high heat.Add the mushrooms and sauté till they sweat. Add the chillies and other vegetables and sauté for 1-2 minutes.Add the ginger julienne, reserving a few for the garnish. Add the Tofu pieces, sauces, pepper and vinegar and stir well.Adjust the salt if required and take out the stir-fry on a serving plate. Garnish with the chives, remaining ginger julienne and sesame seeds.Chilli Ginger Vegetable Tofu can be served as a light meal by itself or with Spicy Schezuan Vegetarian Noodles for a complete meal.
"
Kerala Style Mutton Pepper Fry Recipe,",400 grams Mutton,1 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Salt,2 teaspoon Lemon juice,1 Onion , finely chopped,5 cloves Garlic , finely chopped,1 inch Ginger , thin slices,10 Curry leaves,4 tablespoon Black pepper powder,2 teaspoon Fresh coconut , (1/2 inch size),3/4 teaspoon Salt,1/4 cup Water,2 tablespoons Coconut Oil",10,60,70,3,Kerala Recipes,Appetizer,Non Vegeterian,"To begin making the Kerala Style Mutton Pepper Fry recipe, wash mutton pieces well and marinate it with all the spices mentioned in the list.Heat coconut oil in a pan. Add garlic and ginger pieces. Fry for 1 minute.Add finely chopped onions and curry leaves. Cook till onions turn soft.Add marinated mutton and 3/4 teaspoon salt.Add pepper powder, coconut pieces, mix well. Continue to cook for 4 minutes.Add 2 cups water and mix well. Cover and let it cook until mutton gets cooked well and water is fully evaporated. Kerala style mutton sukka/fry is ready.Kerala Style Mutton Pepper Fry as a side dish along with Kerala Varutharacha Mutton Curry and Steamed Rice for a weekday dinner with family.
"
Khatta-Meetha Aam Ka Murabba Recipe,",2 Mango (Raw),1-1/2 cups Sugar,1/2 cup Water,1 teaspoon Red Chilli powder,3 to 4 Cardamom Powder (Elaichi),Salt , as required,Saffron strands , few for garnishing",20,60,80,6,Rajasthani,Side Dish,Vegetarian,"To begin making the Khatta-Meetha Aam Ka Murabba, keep all the ingredients ready, including the grated raw totapuri mangoes.In a saucepan, add water and sugar on medium heat and bring it to a boil. Once you see it come to a rolling boil. Turn off the flame.  Add the grated mango into the syrup. Bring back to flame and cook it for 5 to 6 minutes and then add red chilli powder, cardamom powder and a pinch of salt.Cook further for 2 more minutes and then switch off the gas. Garnish Khatta-Meetha Aam Ka Murabba with saffron stands and serve it as a side dish with a hearty Rajasthani Thali with rice or Roti and Rajasthani gatte ki sabzi and Dal fry.
"
